date,time,open,maximum,minimum,close,volume
22.01.2002,0:00,1.6115,1.6145,1.6067,1.6093,5340
23.01.2002,0:00,1.6095,1.6115,1.6002,1.6006,4987
24.01.2002,0:00,1.6005,1.6043,1.5991,1.6034,5103
25.01.2002,0:00,1.6037,1.6127,1.602,1.608,5043
28.01.2002,0:00,1.6118,1.6137,1.5967,1.5985,4402
29.01.2002,0:00,1.598,1.5995,1.5837,1.5938,6399
30.01.2002,0:00,1.5935,1.5953,1.5857,1.5882,4929
31.01.2002,0:00,1.5881,1.5957,1.5826,1.5893,5402
01.02.2002,0:00,1.5896,1.5935,1.5877,1.5913,4649
04.02.2002,0:00,1.59,1.5981,1.5895,1.598,3803
05.02.2002,0:00,1.5976,1.6005,1.596,1.5967,3916
06.02.2002,0:00,1.5965,1.6088,1.5965,1.608,4738
07.02.2002,0:00,1.6078,1.6088,1.5975,1.5999,4798
08.02.2002,0:00,1.6,1.6021,1.5936,1.5993,4065
11.02.2002,0:00,1.598,1.5994,1.588,1.5902,3829
12.02.2002,0:00,1.5905,1.5944,1.5885,1.5914,3366
13.02.2002,0:00,1.5914,1.596,1.5893,1.5895,3485
14.02.2002,0:00,1.5901,1.5937,1.5867,1.5921,4094
15.02.2002,0:00,1.5917,1.5935,1.5885,1.5902,3716
18.02.2002,0:00,1.5901,1.5947,1.5898,1.593,1990
19.02.2002,0:00,1.5927,1.5943,1.5855,1.5898,5202
20.02.2002,0:00,1.59,1.5918,1.587,1.5891,4237
21.02.2002,0:00,1.5891,1.5927,1.5873,1.5905,4094
22.02.2002,0:00,1.5906,1.5981,1.5902,1.5964,4573
25.02.2002,0:00,1.597,1.6029,1.5957,1.6025,4379
26.02.2002,0:00,1.6025,1.6125,1.6021,1.6102,4907
27.02.2002,0:00,1.6102,1.6116,1.6048,1.6082,4765
28.02.2002,0:00,1.6082,1.6098,1.6006,1.6011,4222
01.03.2002,0:00,1.6012,1.6033,1.5911,1.5925,4706
04.03.2002,0:00,1.5926,1.5939,1.5876,1.5909,3964
05.03.2002,0:00,1.5908,1.5921,1.5865,1.5877,4259
06.03.2002,0:00,1.5874,1.589,1.58,1.5813,4420
07.03.2002,0:00,1.5812,1.5846,1.5771,1.5837,4501
08.03.2002,0:00,1.5841,1.5875,1.5829,1.5867,4749
11.03.2002,0:00,1.5861,1.588,1.5813,1.583,3581
12.03.2002,0:00,1.5829,1.5875,1.5817,1.5864,3582
13.03.2002,0:00,1.5862,1.5988,1.5846,1.5953,4163
14.03.2002,0:00,1.5952,1.5979,1.5897,1.5922,4771
15.03.2002,0:00,1.5921,1.5936,1.5826,1.5827,4753
18.03.2002,0:00,1.5835,1.5882,1.5831,1.5842,4127
19.03.2002,0:00,1.5838,1.586,1.58,1.5853,4344
20.03.2002,0:00,1.5854,1.5856,1.5777,1.5793,5599
21.03.2002,0:00,1.5796,1.583,1.5771,1.5782,5263
22.03.2002,0:00,1.578,1.5793,1.574,1.5772,5344
25.03.2002,0:00,1.5775,1.5865,1.5769,1.5839,4678
26.03.2002,0:00,1.5837,1.5949,1.5813,1.5911,6068
27.03.2002,0:00,1.591,1.5966,1.587,1.5947,4730
28.03.2002,0:00,1.5948,1.5978,1.5916,1.5926,4994
29.03.2002,0:00,1.5924,1.5958,1.5916,1.5949,1060
01.04.2002,0:00,1.5954,1.6025,1.594,1.5972,3293
02.04.2002,0:00,1.5973,1.6013,1.5911,1.593,5894
03.04.2002,0:00,1.5928,1.5939,1.5874,1.59,4974
04.04.2002,0:00,1.5898,1.5951,1.5885,1.5941,4041
05.04.2002,0:00,1.594,1.5964,1.5876,1.5883,4299
08.04.2002,0:00,1.5888,1.5972,1.587,1.5956,3799
09.04.2002,0:00,1.5956,1.5988,1.5923,1.5958,4345
10.04.2002,0:00,1.5957,1.5959,1.5906,1.5924,4257
11.04.2002,0:00,1.5924,1.5935,1.5861,1.5884,4651
12.04.2002,0:00,1.5885,1.5899,1.585,1.5854,4507
15.04.2002,0:00,1.5852,1.5918,1.5844,1.5867,4066
16.04.2002,0:00,1.5868,1.5892,1.579,1.5819,4436
17.04.2002,0:00,1.5818,1.5823,1.5715,1.5751,5544
18.04.2002,0:00,1.575,1.5775,1.5721,1.5744,4774
19.04.2002,0:00,1.5747,1.5769,1.5704,1.5723,4033
22.04.2002,0:00,1.5718,1.575,1.5702,1.5703,3296
23.04.2002,0:00,1.5704,1.5759,1.5702,1.5731,4346
24.04.2002,0:00,1.573,1.5746,1.5661,1.5672,4352
25.04.2002,0:00,1.5677,1.5678,1.562,1.5655,4306
26.04.2002,0:00,1.5656,1.5668,1.5607,1.5616,4731
29.04.2002,0:00,1.5615,1.5687,1.5602,1.5671,4746
30.04.2002,0:00,1.5672,1.5708,1.5654,1.5675,4544
01.05.2002,0:00,1.5679,1.569,1.5562,1.5595,4309
02.05.2002,0:00,1.5594,1.5647,1.559,1.5623,4364
03.05.2002,0:00,1.5622,1.5673,1.5571,1.5661,4322
06.05.2002,0:00,1.5634,1.5695,1.5624,1.5678,3480
07.05.2002,0:00,1.5677,1.5719,1.5652,1.5667,4367
08.05.2002,0:00,1.5668,1.5723,1.5635,1.5699,5032
09.05.2002,0:00,1.5701,1.5723,1.5644,1.5649,4362
10.05.2002,0:00,1.5649,1.5666,1.5556,1.559,4585
13.05.2002,0:00,1.5572,1.5601,1.5539,1.5546,4489
14.05.2002,0:00,1.5544,1.5629,1.5536,1.5585,4898
15.05.2002,0:00,1.5584,1.5602,1.5535,1.557,4705
16.05.2002,0:00,1.5571,1.5588,1.5516,1.5548,4433
17.05.2002,0:00,1.5547,1.5571,1.5415,1.544,5239
20.05.2002,0:00,1.5464,1.5465,1.5392,1.5416,3864
21.05.2002,0:00,1.5417,1.5442,1.5348,1.5368,5108
22.05.2002,0:00,1.537,1.5408,1.5311,1.5327,5580
23.05.2002,0:00,1.5326,1.5385,1.5325,1.5351,5245
24.05.2002,0:00,1.535,1.5422,1.532,1.5342,5520
27.05.2002,0:00,1.5325,1.5371,1.5325,1.5331,3026
28.05.2002,0:00,1.5333,1.5368,1.5286,1.5317,4645
29.05.2002,0:00,1.5315,1.5355,1.5281,1.5338,4810
30.05.2002,0:00,1.5339,1.5383,1.5321,1.5345,4719
31.05.2002,0:00,1.5344,1.5358,1.5258,1.5274,5189
03.06.2002,0:00,1.5367,1.5387,1.5255,1.527,4893
04.06.2002,0:00,1.5269,1.5322,1.5245,1.5312,4724
05.06.2002,0:00,1.5313,1.5381,1.5294,1.5318,5396
06.06.2002,0:00,1.5317,1.5354,1.5302,1.5331,4916
07.06.2002,0:00,1.5333,1.5338,1.5288,1.5322,4609
10.06.2002,0:00,1.5327,1.54,1.5325,1.5395,4051
11.06.2002,0:00,1.5396,1.5413,1.535,1.5361,4542
12.06.2002,0:00,1.5362,1.5387,1.5343,1.5358,4391
13.06.2002,0:00,1.5359,1.5401,1.5352,1.5394,3974
14.06.2002,0:00,1.5395,1.5524,1.539,1.5465,4896
17.06.2002,0:00,1.5462,1.5516,1.5458,1.5475,4290
18.06.2002,0:00,1.5472,1.5474,1.542,1.5453,4853
19.06.2002,0:00,1.5452,1.5453,1.538,1.5404,4954
20.06.2002,0:00,1.5405,1.541,1.527,1.528,4889
21.06.2002,0:00,1.528,1.5306,1.5176,1.5206,5159
24.06.2002,0:00,1.5208,1.5243,1.5151,1.5211,5176
25.06.2002,0:00,1.5209,1.5244,1.5148,1.5153,5342
26.06.2002,0:00,1.5151,1.5219,1.5078,1.5182,6426
27.06.2002,0:00,1.5185,1.5194,1.5085,1.5111,5727
28.06.2002,0:00,1.5114,1.5221,1.5029,1.5165,6300
01.07.2002,0:00,1.5174,1.5199,1.5136,1.5167,4085
02.07.2002,0:00,1.5166,1.5301,1.5158,1.5274,5272
03.07.2002,0:00,1.5273,1.5348,1.5245,1.5322,5185
04.07.2002,0:00,1.5321,1.5346,1.5273,1.5287,3804
05.07.2002,0:00,1.5292,1.5343,1.5221,1.5239,4869
08.07.2002,0:00,1.524,1.5254,1.5175,1.523,5306
09.07.2002,0:00,1.5229,1.5269,1.511,1.5118,5642
10.07.2002,0:00,1.5116,1.5233,1.5108,1.5199,6356
11.07.2002,0:00,1.5209,1.5271,1.5165,1.5248,5768
12.07.2002,0:00,1.5247,1.5346,1.5222,1.5338,5125
15.07.2002,0:00,1.5325,1.5404,1.5299,1.5387,6504
16.07.2002,0:00,1.5386,1.54,1.5312,1.5393,6567
17.07.2002,0:00,1.5395,1.5456,1.5363,1.5396,5600
18.07.2002,0:00,1.5397,1.5461,1.5388,1.5445,4468
19.07.2002,0:00,1.5447,1.5452,1.5324,1.5436,7309
22.07.2002,0:00,1.5427,1.5664,1.5402,1.5639,8202
23.07.2002,0:00,1.5649,1.5893,1.5631,1.5819,9686
24.07.2002,0:00,1.582,1.5965,1.5591,1.5634,8938
25.07.2002,0:00,1.564,1.5748,1.5618,1.5684,9225
26.07.2002,0:00,1.5686,1.5895,1.5679,1.5855,8498
29.07.2002,0:00,1.585,1.5873,1.5697,1.5724,6436
30.07.2002,0:00,1.5725,1.5765,1.5661,1.5749,6715
31.07.2002,0:00,1.5748,1.5873,1.5703,1.5842,7635
01.08.2002,0:00,1.5842,1.5927,1.5817,1.5913,6645
02.08.2002,0:00,1.5909,1.5923,1.5837,1.5848,7738
05.08.2002,0:00,1.5855,1.5981,1.5809,1.5971,6582
06.08.2002,0:00,1.5971,1.6051,1.582,1.5855,9360
07.08.2002,0:00,1.5853,1.5909,1.5752,1.5781,8768
08.08.2002,0:00,1.578,1.5845,1.5701,1.5801,9350
09.08.2002,0:00,1.5803,1.5828,1.5699,1.5725,7910
12.08.2002,0:00,1.5723,1.5771,1.5685,1.5743,7197
13.08.2002,0:00,1.5751,1.5774,1.5613,1.565,8294
14.08.2002,0:00,1.5649,1.5681,1.5579,1.5642,8090
15.08.2002,0:00,1.564,1.5646,1.5563,1.5595,6252
16.08.2002,0:00,1.5596,1.5628,1.5556,1.5592,6320
19.08.2002,0:00,1.5591,1.5747,1.5574,1.5733,5667
20.08.2002,0:00,1.5732,1.5749,1.5646,1.5672,6404
21.08.2002,0:00,1.5671,1.5712,1.5527,1.5555,6720
22.08.2002,0:00,1.5556,1.5621,1.5512,1.5588,6713
23.08.2002,0:00,1.559,1.562,1.555,1.5565,5911
26.08.2002,0:00,1.5567,1.5608,1.5545,1.5557,4911
27.08.2002,0:00,1.5555,1.5566,1.5492,1.5541,5123
28.08.2002,0:00,1.5539,1.561,1.5521,1.5606,5877
29.08.2002,0:00,1.5607,1.5649,1.5548,1.5593,6335
30.08.2002,0:00,1.5588,1.562,1.556,1.5588,5148
02.09.2002,0:00,1.559,1.56,1.5552,1.5572,3259
03.09.2002,0:00,1.5572,1.5582,1.5503,1.5534,5459
04.09.2002,0:00,1.5531,1.5702,1.5513,1.5666,6393
05.09.2002,0:00,1.5668,1.5735,1.5655,1.5721,6660
06.09.2002,0:00,1.5723,1.5743,1.5584,1.5597,6771
09.09.2002,0:00,1.5589,1.5664,1.5586,1.5638,4879
10.09.2002,0:00,1.5641,1.574,1.5608,1.5725,6700
11.09.2002,0:00,1.5727,1.5814,1.5707,1.5791,6471
12.09.2002,0:00,1.5793,1.5885,1.5766,1.5863,7386
13.09.2002,0:00,1.5865,1.5873,1.5786,1.5824,7215
16.09.2002,0:00,1.5797,1.5837,1.5776,1.582,6198
17.09.2002,0:00,1.5823,1.5845,1.576,1.5808,8269
18.09.2002,0:00,1.5806,1.587,1.5772,1.5784,8112
19.09.2002,0:00,1.5786,1.5789,1.5697,1.5741,7358
20.09.2002,0:00,1.574,1.578,1.5708,1.5728,7036
23.09.2002,0:00,1.5738,1.586,1.5716,1.5822,5571
24.09.2002,0:00,1.5821,1.5916,1.5816,1.587,7480
25.09.2002,0:00,1.5871,1.5886,1.578,1.5798,8099
26.09.2002,0:00,1.5797,1.5816,1.5733,1.5742,7155
27.09.2002,0:00,1.5741,1.5793,1.5737,1.5787,5624
30.09.2002,0:00,1.5786,1.5879,1.5753,1.5872,5402
01.10.2002,0:00,1.5868,1.5908,1.5785,1.5821,6019
